Plate	Inplatecount	Sample	IgGTotal_RBD alpha	IgGTotal_N	IgGTotal_RBD beta	IgGTotal_RBD omicron	IgGTotal_RBD lambda	IgGTotal_RBD gamma	IgGTotal_zebra	IgGTotal_Eadp501	IgGTotal_RBD delta	IgGTotal_RBD wuhan	IgGTotal_AMA1	IgGTotal_MSP1	IgGTotal_HRPII	IgGTotal_Tetanus	IgGTotal_HCoV-229E	IgGTotal_HCoV-NL63	IgGTotal_HCoV-OC43	IgGTotal_pp28	IgGTotal_pp65	IgGTotal_EBNA1	IgGTotal_VCA	IgGTotal_FL spike	IgGTotal_BSA	IgGTotal_CelTos	IgGTotal_CSP	IgGTotal_HCoV-HKU1
PLATE1	1	BACKGROUND0	62	54.5	71	86	67	93	50	33	74	22	67	75	81	39	70.5	95	89	63	71	25	46	62	81	98	94	20
PLATE1	1	AF-MIX-S1	1859	372.5	481.5	-310	122.5	403	3184.5	-127	1343.5	1625	40055	36354	5573.5	32126	31795	18325	55662	6392	967	43608.5	44123	1919.5	572	401.5	2355.5	34320
PLATE1	1	AF-MIX-S2	436	327	54	-260.5	-203	-29	3189	-6	123	421	34396	28707	5073.5	32134	30329	18287	56618	5213	862	38669	50688	1356	450	175	2297	21863
PLATE1	1	AF-MIX-S3	629.5	48	278	-79	129.5	187	968	-72	650.5	546	11594.5	9901	1614	13062.5	11449	6968.5	21929	1853	383.5	14370	22386	731.5	544	2	1349	6984
PLATE1	1	AF-MIX-S4	-11	-35	-6	-106.5	-101	-44	293	-69.5	18	67	3045.5	3263	609	4226.5	3614.5	2207.5	7822	696.5	141	3735.5	5621	188	243	23.5	504	1797.5
PLATE1	1	AF-MIX-S5	37	21.5	12	-17.5	-1.5	17	159	-15.5	57.5	49.5	1557.5	1904	346.5	2177.5	1762.5	1059.5	3496.5	382	103.5	1865.5	2644.5	142.5	160.5	51.5	260.5	904.5
PLATE1	1	AF-MIX-S6	23	-22	38.5	-30.5	-1	20	86	-30	31.5	25.5	889	1071	231	983	929	578.5	1868	231	60	1041.5	1347	85	131	70.5	137	496
PLATE1	1	AF-MIX-S7	167.5	42.5	74	38.5	85.5	93.5	101.5	25.5	157.5	104.5	560.5	640.5	172.5	561.5	492.5	338.5	957.5	143	69.5	534.5	711.5	121.5	88.5	96.5	134.5	300.5
PLATE1	2	BACKGROUND0	181.5	25.5	83.5	17	95.5	123.5	48.5	2.5	250	160.5	605	357.5	128.5	380.5	286.5	208.5	524	129	50.5	315	574.5	155.5	83.5	79.5	159.5	115.5
PLATE1	2	AF-MIX-S1	1070	297	-10	-337.5	-206	-15	4310.5	-211	424	990	34670	37343.5	5203.5	30145	33070.5	18652	60467	8350.5	1239	41467.5	40748	1516	565	239.5	2412	31745
PLATE1	2	AF-MIX-S2	1810.5	349.5	405.5	-207.5	251.5	412.5	2997.5	-55.5	1460.5	1453	41014	32137	4728.5	32022.5	27395.5	19683.5	56917.5	5368	845	42990.5	54278.5	2032.5	424.5	167.5	2395.5	21991.5
PLATE1	2	AF-MIX-S3	182.5	-8.5	20	-212.5	-141	-59.5	839.5	-117	202.5	212	11645.5	10635.5	1587.5	11555	9841	5675.5	21289	1541	345	13682.5	20901	484.5	315.5	27.5	1361.5	5818.5
PLATE1	2	AF-MIX-S4	111	-12	20	-75.5	-24	15	290	-38	107	141	3268	3509	658.5	3614	3623	2044	6396.5	626	137	4354	5996	240	181	20	360.5	2035
PLATE1	2	AF-MIX-S5	69	-6	12	-48	-3	43	221	-2	41	75	1894	2116.5	415	2248	2127	1230	4172	404	139	2517	3264	167	134	78	248	1147.5
PLATE1	2	AF-MIX-S6	23	22.5	16	7	-7.5	43.5	152.5	7	33	28.5	1086	1182	265	1141	1167	670	2205	281	86	1259	1927	117.5	96	60	191	603
PLATE1	2	AF-MIX-S7	44	41	49	4.5	24.5	58	103	26	61.5	40	594	610	177	584	569	390	1099	168.5	96	681	770	119.5	60	104	158	350
PLATE1	3	BACKGROUND0	113.5	54.5	65	50.5	62	137	49	46.5	142.5	74.5	197.5	132.5	85	78.5	65.5	87.5	63.5	71.5	61	38	22.5	31.5	86.5	70.5	96	25
PLATE1	1	POST-VACC-S1	51028	24431	72484.5	46207	52331	59551	227	-755.5	58237.5	60374	-538	7925	-988.5	2686	20969	15062	58135	-237	1260	27481.5	32634	34531	1938	3075	-123	28018
PLATE1	1	POST-VACC-S2	156153	14037	104968.5	44233.5	109504.5	93430	20	-479	159580	136867	267	3679.5	-441.5	39389	16265	12464	67746	199	726	77606	34020	83810	1535	1747	155.5	17636
